,ID,tips,convex_hull_area,solidity,perimeter,width,height
0,P0375_16,10,374470.5,0.2543858595002811,9237.40865957737,827,580
0,P0376_16,11,591927.0,0.2099583225634242,11293.0239123106,892,913
0,P0378_16,10,591495.5,0.26145084789317924,11184.948982715607,839,990
0,P0379_16,14,480282.5,0.26401128502495924,10522.789890170097,816,762
0,P0380_16,7,449127.0,0.21872877827429657,9303.48492527008,964,748
0,P0381_16,13,676622.5,0.22600637726354061,12965.040882587433,988,899
0,P0382_16,15,601657.5,0.26329764026875757,10323.861522436142,992,832
0,P0383_16,11,751571.5,0.18936588202187019,11200.949270486832,1028,922
0,P0384_16,14,534061.0,0.27831839434072136,10102.05065214634,911,775
0,P0385_16,14,747690.5,0.20896079326940759,15197.888168692589,1028,917
0,P0386_16,12,783699.5,0.23730141463660498,9150.823168516159,1028,1010
0,P0387_16,12,678573.5,0.20740420897662523,9071.112234473228,996,1029
0,P0388_16,12,606834.0,0.2561161701552649,11767.929495334625,951,921
0,P0389_16,12,564982.5,0.2789732425340608,11041.294681429863,981,888
0,P0390_16,12,742136.5,0.20694979966623392,12098.60521030426,1018,1001
0,P0391_16,12,966126.0,0.2204505416477768,15283.409723997116,1025,1165
0,P0392_16,13,815014.5,0.22705117516314127,12519.745181322098,1028,1029
0,P0393_16,9,706501.5,0.20589340574648463,11010.69234931469,994,1133
0,P0394_16,13,970884.5,0.2316372338831241,15312.535392045975,1028,1165
0,P0395_16,9,423768.0,0.21120282796247003,8186.311709046364,959,651
0,P0396_16,11,526779.0,0.2463480890468299,8366.698278069496,828,811
0,P0397_16,13,725591.5,0.227217380578466,11798.890395402908,984,977
0,P0398_16,13,786303.5,0.1986955418613805,13425.370333313942,1028,1164
0,P0399_16,11,825535.5,0.20630124325362142,11381.106872320175,959,1135
0,P0400_16,11,893431.0,0.17662136191826788,14761.44702231884,1028,1137
0,P0401_16,13,571456.5,0.2210824445955204,8855.561195015907,938,872
0,P0402_16,10,469541.5,0.26363164917265036,8904.09524667263,873,750
0,P0403_16,11,676683.0,0.23099885766304162,11566.110738754272,1023,840
0,P0404_16,10,522123.5,0.2789186849471437,11780.123378753662,1028,684
0,P0405_16,11,517074.5,0.24707464785055153,11308.096631288528,963,778
0,P0406_16,10,793741.0,0.1887000923475038,11712.610850334167,1004,981
0,P0407_16,11,547791.0,0.255126498974974,10802.248698234558,965,785
0,P0408_16,11,701394.0,0.18642303755093428,13258.92931330204,1028,830
0,P0409_16,11,602029.5,0.23128268631354443,10487.20201575756,1001,791
0,P0411_16,12,537427.5,0.23181917560973342,11174.288115024567,792,1033
0,P0412_16,10,576755.0,0.2294111017676483,8503.769345760345,986,808
0,P0413_16,11,710758.0,0.2688453735307939,10382.310537695885,971,1103
0,P0414_16,11,379561.0,0.31084595098021134,9197.21212041378,843,736
0,P0415_16,12,567856.0,0.23542236059846158,9599.37864100933,901,855
0,P0416_16,11,933831.0,0.2157403213215239,12897.449830651283,1010,1165
0,P0417_16,13,704311.5,0.21236910088788838,13974.357112169266,1010,905
0,P0418_16,13,646706.0,0.2508543294789286,14314.74861228466,999,903
0,P0419_16,10,692770.5,0.22920721941826333,11904.669891953468,739,1163
0,P0421_16,13,721804.5,0.21041293037103537,13680.28946340084,1028,896
0,P0422_16,9,392814.5,0.2691804910460281,8574.665905594826,863,682
0,P0423_16,11,740926.0,0.20747820969975408,13607.051782011986,987,924
0,P0424_16,13,631339.0,0.22480790827115069,14044.985295295715,993,848
0,P0425_16,12,542667.5,0.3027784048243169,8361.821080565453,904,807
0,P0426_16,12,563326.5,0.22917615272847985,12011.579206705093,961,736
0,P0427_16,11,632782.0,0.2045633409294196,10406.033407211304,916,915
0,P0428_16,14,652464.0,0.24934709041418376,13103.44586789608,990,857
0,P0429_16,10,382505.0,0.3328740800773846,6597.300097942352,919,585
0,P0430_16,12,758339.5,0.23494622131644205,12175.20464849472,1028,1003
0,P0431_16,12,671591.0,0.24072538196610735,12953.7114828825,1028,878
0,P0432_16,12,594037.5,0.23001241504113798,12754.044598221779,842,921
0,P0433_16,10,618698.5,0.20499645627070373,9357.10029900074,1028,740
0,P0434_16,10,377327.0,0.27974674486585904,9007.220658779144,920,630
0,P0435_16,8,433059.5,0.23078122059439868,7762.063721179962,917,737
0,P0436_16,11,575185.5,0.26605677646602705,9266.09524667263,976,883
0,P0437_16,11,596970.5,0.24851479260700488,10736.061968326569,953,897
0,P0438_16,11,731411.0,0.20038391547296938,9583.766381382942,961,944
0,P0439_16,12,721526.0,0.25507188930128644,14047.042719841003,1028,879
0,P0440_16,13,942590.5,0.21549336641945788,13506.117975950241,1028,1165
0,P0441_16,12,781116.0,0.2207930704274397,12971.496540546417,1028,972
0,P0442_16,12,752253.5,0.21702790349263912,10643.736067414284,1028,1017
0,P0444_16,12,533408.5,0.2613437918593348,12687.998603463173,892,854
0,P0445_16,11,524835.5,0.2900889897882289,9920.86897456646,955,766
0,P0446_16,9,770754.5,0.184952536767544,12418.202666521072,1028,893
0,P0447_16,13,578438.0,0.24914856907741192,13374.337817549706,1028,743
0,P0448_16,10,650940.0,0.20064061203797584,9327.32273030281,889,981
0,P0449_16,11,706323.0,0.18543640798897953,12621.115428566933,1013,935
0,P0450_16,11,617575.5,0.22582502058452772,10535.368536353111,925,935
0,P0451_16,12,702583.5,0.2505239590739037,11283.593932032585,964,944
0,P0452_16,11,717602.5,0.20607787737640268,11255.421482682228,969,958
0,P0453_16,11,500604.0,0.25225527562704253,10731.007101297379,935,647
0,P0454_16,11,312052.0,0.34586863727840234,9321.663035035133,607,720
0,P0455_16,11,482141.0,0.32067175369860684,13111.482850670815,833,748
0,P0456_16,12,748569.0,0.20193462459706454,13103.831279277802,967,1005
0,P0457_16,13,521023.5,0.2867701744738961,11233.440264105797,871,736
0,P0458_16,12,817617.0,0.1999432497122736,13972.187084913254,1028,1036
0,P0459_16,13,638484.5,0.24892068640663947,12811.420899033546,927,929
0,P0460_16,11,618926.5,0.2157590602438254,10192.392475128174,906,927
0,P0461_16,11,744264.0,0.19820117592682165,11591.750347971916,1028,1030
0,P0462_16,12,534426.0,0.22869957674214952,9051.343039035797,975,790
0,P0463_16,13,501805.0,0.28955670031187414,11247.338222384453,1028,670
0,P0464_16,11,805319.0,0.2078927729260082,12642.518474459648,980,1009
0,P0465_16,12,735832.0,0.22834831863794997,12339.806258678436,1028,996
0,P0466_16,11,572287.0,0.22611032576312234,10128.343108296394,939,865
0,P0467_16,12,752178.5,0.20749994848297312,13234.86008989811,983,1007
0,P0468_16,12,917879.5,0.23673042049637236,12072.211243987083,1028,1165
